ID,Work Item Type,Title,Assigned To,State,Tags,Repro Steps,Priority
"10001","Bug","[Regression] KYC Verification fails for valid passport","QA Team <qa@markets.com>","Open","KYC,Onboarding","1. Register a new user\n2. Upload a valid passport and proof of address\n3. Submit for KYC verification\nActual: KYC fails with 'Document not recognized' error\nExpected: KYC should pass for valid documents","1"
"10002","Bug","[UI] Portfolio dashboard does not update after trade","QA Team <qa@markets.com>","Open","Dashboard,Portfolio","1. Login as MEDIUM role user\n2. Place a trade in forex\n3. Open portfolio dashboard\nActual: New position is not displayed\nExpected: Dashboard updates in real-time with new position","2"
"10003","Bug","[Security] 2FA prompt missing on login","QA Team <qa@markets.com>","Open","Security,2FA","1. Login as EXCELLENT role user\n2. Enter correct credentials\nActual: User is logged in without 2FA prompt\nExpected: 2FA prompt should appear after password entry","1"
"10004","Bug","[Analytics] Advanced analytics not available for EXCELLENT user","QA Team <qa@markets.com>","Open","Analytics,Role","1. Login as EXCELLENT role user\n2. Navigate to analytics dashboard\nActual: Advanced metrics (win/loss, risk-adjusted returns) not visible\nExpected: All advanced analytics should be available for EXCELLENT users","2"
"10005","Bug","[Notification] Price alert not sent to user","QA Team <qa@markets.com>","Open","Notification,Alert","1. Login as LOW role user\n2. Set a price alert for BTC/USD\n3. Wait for price to cross threshold\nActual: No notification received\nExpected: User receives price alert via selected channel","2"
"10006","Bug","[Mobile] App crashes on order execution","QA Team <qa@markets.com>","Open","Mobile,Trading","1. Login on iOS app\n2. Place a market order for EUR/USD\nActual: App crashes after order submission\nExpected: Order executes and confirmation is shown","1"
"10007","Bug","[Funds] Withdrawal fails for verified user","QA Team <qa@markets.com>","Open","Funds,Withdrawal","1. Login as KYC-verified user\n2. Request withdrawal to bank account\nActual: Withdrawal request fails with generic error\nExpected: Withdrawal should succeed for verified users","2"
"10008","Bug","[Performance] Dashboard loads in >5 seconds during peak hours","QA Team <qa@markets.com>","Open","Performance,Dashboard","1. Login during peak trading hours\n2. Navigate to portfolio dashboard\nActual: Dashboard takes over 5 seconds to load\nExpected: Dashboard loads in under 2 seconds as per SLA","3"
"10009","Bug","[Compliance] User from restricted jurisdiction can register","QA Team <qa@markets.com>","Open","Compliance,Registration","1. Attempt registration from a restricted country (e.g., US)\nActual: Registration is allowed\nExpected: Registration should be blocked for restricted jurisdictions","1"
"10010","Bug","[Audit] Trade execution not logged in audit trail","QA Team <qa@markets.com>","Open","Audit,Trading","1. Login as any user\n2. Place a trade\n3. Check audit logs\nActual: Trade execution not recorded in audit log\nExpected: All trades should be logged with timestamp and user details","2"
